trial,spike_time_s
4,11.623833
4,11.629633
4,11.637433
4,11.643433
4,11.671467
4,11.687633
4,11.693433
4,11.7674
4,11.774633
4,11.787033
4,11.8596
4,11.872667
4,11.885267
4,12.734433
4,12.739967
4,12.744267
4,13.420167
4,13.437667
4,13.4431
4,13.460933
4,13.724633
4,13.734567
5,0.4692
5,0.761
5,0.766367
5,0.770367
5,0.9172
5,0.924767
5,0.9322
5,1.0951
5,2.450233
5,2.876667
5,2.882233
5,2.886033
5,3.0463
5,3.059533
5,3.068467
5,3.1125
5,3.119133
5,3.1286
5,3.3824
5,3.4133
5,3.420933
5,3.4255
5,3.441533
5,3.4489
5,3.456867
5,3.5931
5,3.600033
5,3.782033
5,3.786067
5,3.7912
5,3.815167
5,3.8605
5,3.8679
5,3.9877
5,4.0481
5,4.061967
5,4.067567
5,4.103933
5,4.110633
5,4.122567
5,4.133967
5,4.150367
5,4.156233
5,4.161167
5,4.172033
5,4.202433
5,4.209867
5,4.245833
5,4.2503
5,4.2564
5,4.272067
5,4.282233
5,4.287967
5,4.374333
5,4.378267
5,4.3828
5,4.4566
5,4.461733
5,4.466267
5,4.473167
5,4.478667
5,4.504667
5,4.5168
5,4.587067
5,4.5981
5,4.606833
5,4.627367
5,4.6351
5,4.762433
5,4.770033
5,4.797567
5,4.802133
5,4.8079
5,4.862967
5,4.867567
5,4.8734
5,4.883533
5,4.889067
5,4.920467
5,4.924867
5,4.930233
5,4.9375
5,4.952667
5,4.962867
5,4.9737
5,4.9785
5,5.055467
5,5.0602
5,5.064733
5,5.126567
5,5.151267
5,5.156833
5,5.1622
5,5.171367
5,5.485167
5,5.491267
5,5.5103
5,5.558267
5,5.564267
5,5.5945
5,5.6159
5,5.639067
5,5.651867
5,5.665333
5,5.671133
5,5.682633
5,5.739833
5,5.747067
5,5.817233
5,6.491867
5,6.5068
5,6.512067
5,6.518933
5,7.290367
5,7.296267
5,7.300933
5,8.522933
5,8.5267
5,8.5306
5,8.536033
5,8.5398
5,8.9424
5,8.9526
5,8.9556
5,9.047333
5,9.053567
5,9.0604
5,9.1034
5,9.1167
5,9.122433
5,9.1305
5,9.137867
5,9.266967
5,9.2722
5,9.2763
5,9.343067
5,9.3467
5,9.3521
5,9.3609
5,9.588667
5,9.594667
5,9.6009
5,9.819133
5,10.0348
5,10.117733
5,10.123433
5,10.1756
5,10.1812
5,10.185833
5,10.237633
5,10.243
